Easting,Northing,TEMPM,TEMPR
1675,175,11.4,8.97
1725,175,11.39,8.94
1675,225,11.39,9.04
1725,225,11.38,9.01
1775,225,11.39,9.03
1375,275,11.51,9
1425,275,11.48,9.05
1675,275,11.42,9.32
1725,275,11.39,9.33
1775,275,11.39,9.29
1375,325,11.45,9.13
1425,325,11.43,9.21
1475,325,11.41,9.24
1525,325,11.37,9.35
1575,325,11.35,9.4
1625,325,11.32,9.46
1675,325,11.33,9.46
1725,325,11.34,9.51
1775,325,11.35,9.49
1425,375,11.38,9.18
1475,375,11.36,9.24
1525,375,11.34,9.37
1575,375,11.33,9.42
1625,375,11.31,9.49
1675,375,11.32,9.5
1725,375,11.31,9.51
1775,375,11.32,9.55
1825,375,11.33,9.56
1475,425,11.29,9.15
1525,425,11.26,9.25
1575,425,11.27,9.35
1625,425,11.27,9.4
1675,425,11.29,9.49
1725,425,11.29,9.5
1775,425,11.3,9.56
1825,425,11.31,9.6
1875,425,11.31,9.64
1925,425,11.3,9.7
2725,425,11.13,9.8
2775,425,11.12,9.8
2825,425,11.14,9.77
1675,475,11.24,9.32
1725,475,11.26,9.43
1775,475,11.29,9.54
1825,475,11.28,9.62
1875,475,11.26,9.66
1925,475,11.24,9.68
1975,475,11.25,9.68
2025,475,11.26,9.72
2675,475,11.03,10.1
2725,475,11.04,10.09
2775,475,11.02,10.06
2825,475,11.03,9.95
1725,525,11.22,9.43
1775,525,11.22,9.5
1825,525,11.22,9.56
1875,525,11.19,9.55
1925,525,11.17,9.54
1975,525,11.17,9.52
2025,525,11.16,9.56
2525,525,11.08,10.33
2575,525,11.08,10.44
2625,525,11.04,10.4
2675,525,11.01,10.2
2725,525,10.96,10.16
2775,525,11.01,10.19
2825,525,11.04,10.22
2875,525,11.02,10.25
1775,575,11.17,9.49
1825,575,11.17,9.51
1875,575,11.15,9.43
1925,575,11.13,9.45
1975,575,11.12,9.57
2025,575,11.09,9.69
2075,575,11.09,9.77
2125,575,11.13,9.88
2175,575,11.16,9.98
2225,575,11.18,10.09
2275,575,11.21,10.22
2325,575,11.21,10.31
2375,575,11.18,10.43
2425,575,11.12,10.48
2475,575,11.07,10.5
2525,575,11.03,10.52
2575,575,11.01,10.59
2625,575,10.99,10.51
2675,575,10.94,10.5
2725,575,10.95,10.58
2775,575,10.94,10.49
2825,575,10.99,10.53
2875,575,11.05,10.59
2925,575,11.02,10.24
1825,625,11.15,9.5
1875,625,11.11,9.38
1925,625,11.1,9.4
1975,625,11.06,9.57
2025,625,11.02,9.69
2075,625,11.02,9.67
2125,625,11.06,9.87
2175,625,11.07,10.14
2225,625,11.09,10.11
2275,625,11.07,10.24
2325,625,11.09,10.28
2375,625,11.1,10.56
2425,625,11.08,10.77
2475,625,11.07,10.75
2525,625,11,10.71
2575,625,10.95,10.7
2625,625,10.9,10.79
2675,625,10.81,10.67
2725,625,10.78,10.7
2775,625,10.85,10.7
2825,625,10.98,10.73
2875,625,11.03,10.73
1875,675,11.12,9.5
1925,675,11.07,9.39
1975,675,11.03,9.52
2025,675,10.94,9.52
2075,675,10.95,9.67
2125,675,10.93,9.84
2175,675,10.97,10.07
2225,675,10.95,10.14
2275,675,10.97,10.35
2325,675,10.99,10.57
2375,675,11,10.69
2425,675,10.99,10.71
2475,675,10.94,10.79
2525,675,10.89,10.75
2575,675,10.8,10.71
2625,675,10.77,10.74
2675,675,10.67,10.69
2725,675,10.68,10.73
2775,675,10.73,10.78
2825,675,10.85,10.86
2875,675,11,10.87
2925,675,10.95,10.71
1875,725,11.09,9.51
1925,725,11.07,9.46
1975,725,11.03,9.53
2025,725,10.93,9.5
2075,725,10.89,9.69
2125,725,10.9,9.84
2175,725,10.83,9.97
2225,725,10.81,10.32
2275,725,10.8,10.45
2325,725,10.84,10.68
2375,725,10.84,10.73
2425,725,10.84,10.79
2475,725,10.82,10.79
2525,725,10.78,10.73
2575,725,10.73,10.76
2625,725,10.67,10.76
2675,725,10.67,10.8
2725,725,10.68,10.81
2775,725,10.69,10.8
2825,725,10.79,10.93
2875,725,10.93,11.15
2925,725,10.93,10.89
1925,775,11.08,9.53
1975,775,11,9.54
2025,775,10.97,9.61
2075,775,10.84,9.72
2125,775,10.86,9.77
2175,775,10.76,10.07
2225,775,10.75,10.3
2275,775,10.76,10.45
2325,775,10.77,10.56
2375,775,10.8,10.71
2425,775,10.78,10.76
2475,775,10.75,10.79
2525,775,10.7,10.85
2575,775,10.65,10.88
2625,775,10.61,10.94
2675,775,10.61,11.05
2725,775,10.62,11.09
2775,775,10.65,11.02
2825,775,10.7,10.92
2875,775,10.84,11.2
2925,775,10.85,11.24
2975,775,10.87,11.04
3675,775,11.08,10.98
4475,775,10.81,11.14
4525,775,10.78,11.1
1975,825,11.03,9.61
2025,825,10.97,9.61
2075,825,10.84,9.84
2125,825,10.8,9.73
2175,825,10.75,10.08
2225,825,10.71,10.19
2275,825,10.73,10.36
2325,825,10.73,10.48
2375,825,10.7,10.67
2425,825,10.67,10.85
2475,825,10.64,10.94
2525,825,10.63,10.99
2575,825,10.61,11.06
2625,825,10.58,11.15
2675,825,10.57,11.24
2725,825,10.58,11.26
2775,825,10.59,11.3
2825,825,10.62,11.35
2875,825,10.68,11.32
2925,825,10.72,11.29
2975,825,10.76,11.29
3025,825,10.79,11.05
3075,825,10.86,11.02
3625,825,11.04,11.13
3675,825,11.04,11.2
3725,825,11.03,11.27
3775,825,10.99,11.24
3825,825,10.95,11.33
3875,825,10.88,11.45
3925,825,10.81,11.49
3975,825,10.74,11.47
4025,825,10.75,11.44
4425,825,10.77,11.27
4475,825,10.78,11.32
4525,825,10.81,11.39
4575,825,10.82,11.44
2075,875,10.87,9.68
2125,875,10.8,9.81
2175,875,10.71,9.82
2225,875,10.69,10.15
2275,875,10.69,10.26
2325,875,10.67,10.47
2375,875,10.6,10.69
2425,875,10.62,10.91
2475,875,10.61,10.97
2525,875,10.6,11.03
2575,875,10.58,11.15
2625,875,10.56,11.26
2675,875,10.57,11.3
2725,875,10.57,11.35
2775,875,10.58,11.34
2825,875,10.58,11.34
2875,875,10.6,11.33
2925,875,10.6,11.37
2975,875,10.66,11.28
3025,875,10.73,11.17
3075,875,10.72,11.14
3125,875,10.74,11.12
3575,875,10.93,11.25
3625,875,10.95,11.3
3675,875,10.93,11.42
3725,875,10.95,11.56
3775,875,10.92,11.57
3825,875,10.88,11.67
3875,875,10.81,11.7
3925,875,10.77,11.86
3975,875,10.75,11.73
4325,875,10.8,11.75
4375,875,10.79,11.64
4425,875,10.8,11.68
4475,875,10.84,11.66
4525,875,10.89,11.76
4575,875,10.95,11.95
4625,875,10.93,12.01
2125,925,10.79,9.88
2175,925,10.74,9.84
2225,925,10.64,10.02
2275,925,10.69,10.23
2325,925,10.64,10.31
2375,925,10.58,10.64
2425,925,10.56,10.76
2475,925,10.59,10.96
2525,925,10.57,11.11
2575,925,10.57,11.23
2625,925,10.55,11.28
2675,925,10.55,11.32
2725,925,10.56,11.36
2775,925,10.57,11.38
2825,925,10.57,11.38
2875,925,10.57,11.38
2925,925,10.56,11.33
2975,925,10.56,11.36
3025,925,10.59,11.34
3075,925,10.61,11.22
3125,925,10.68,11.09
3175,925,10.69,11.04
3225,925,10.69,11.01
3275,925,10.74,11.11
3325,925,10.72,11.05
3375,925,10.76,11.17
3425,925,10.75,11.13
3475,925,10.79,11.29
3525,925,10.81,11.34
3575,925,10.83,11.36
3625,925,10.83,11.44
3675,925,10.84,11.64
3725,925,10.8,11.71
3775,925,10.73,11.78
3825,925,10.68,11.88
3875,925,10.67,11.93
3925,925,10.68,11.95
3975,925,10.63,12.02
4025,925,10.64,12.05
4075,925,10.63,12.09
4125,925,10.63,11.99
4175,925,10.68,12.09
4225,925,10.67,11.99
4275,925,10.73,12.09
4425,925,10.84,12
4475,925,10.86,12.03
4525,925,10.85,12.06
4575,925,10.83,12.09
2175,975,10.76,9.93
2225,975,10.66,9.82
2275,975,10.64,10.12
2325,975,10.66,10.29
2375,975,10.58,10.43
2425,975,10.56,10.76
2475,975,10.54,10.91
2525,975,10.56,11.11
2575,975,10.56,11.23
2625,975,10.55,11.29
2675,975,10.54,11.34
2725,975,10.54,11.35
2775,975,10.54,11.4
2825,975,10.56,11.41
2875,975,10.55,11.39
2925,975,10.56,11.34
2975,975,10.54,11.35
3025,975,10.51,11.27
3075,975,10.51,11.3
3125,975,10.52,11.26
3175,975,10.53,11.26
3225,975,10.59,11.33
3275,975,10.59,11.27
3325,975,10.63,11.41
3375,975,10.61,11.34
3425,975,10.65,11.39
3475,975,10.65,11.41
3525,975,10.69,11.39
3575,975,10.69,11.59
3625,975,10.69,11.67
3675,975,10.67,11.84
3725,975,10.63,11.86
3775,975,10.64,11.95
3825,975,10.62,11.93
3875,975,10.61,12.01
3925,975,10.61,12.04
3975,975,10.59,12.09
4025,975,10.63,12.23
4075,975,10.63,12.31
4125,975,10.61,12.35
4175,975,10.58,12.3
4225,975,10.59,12.24
4275,975,10.7,12.24
4325,975,10.78,12.2
4375,975,10.83,12.29
4825,975,10.62,12.01
5575,975,10.68,12.24
2225,1025,10.72,9.93
2275,1025,10.6,9.83
2325,1025,10.66,10.2
2375,1025,10.6,10.35
2425,1025,10.54,10.63
2475,1025,10.52,10.93
2525,1025,10.54,11.07
2575,1025,10.55,11.17
2625,1025,10.53,11.21
2675,1025,10.53,11.3
2725,1025,10.52,11.38
2775,1025,10.52,11.42
2825,1025,10.53,11.39
2875,1025,10.54,11.39
2925,1025,10.55,11.36
2975,1025,10.55,11.34
3025,1025,10.51,11.31
3075,1025,10.5,11.32
3125,1025,10.48,11.26
3175,1025,10.49,11.28
3225,1025,10.49,11.28
3275,1025,10.49,11.25
3325,1025,10.5,11.27
3375,1025,10.51,11.22
3425,1025,10.55,11.28
3475,1025,10.56,11.29
3525,1025,10.56,11.46
3575,1025,10.59,11.67
3625,1025,10.55,11.86
3675,1025,10.55,11.95
3725,1025,10.52,11.96
3775,1025,10.57,11.98
3825,1025,10.57,11.97
3875,1025,10.59,12.04
3925,1025,10.6,12.11
