"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Latitude","0.022857824","-0.270863267","0.203715137","0.02490602","-0.278689536","0.259346695","0.791283116","0.051732324","0.105053873","-1.612530732","-1.2402265","0.21971482","0.058954753","0.238076953","1.191214578","0.486807392","-0.639939162"
"Longitude","0.225118634","-0.211155654","0.149258372","-0.679318134","0.288046341","-0.415567089","0.446829434","-0.83744142","-0.402014581","-0.46456849","0.215792349","-0.386325939","-0.250875616","0.156389896","-0.100508196","-0.170090372","-0.199794733"
"Mean Air Temp","1.040043644","-0.757958667","-0.115721767","0.441151843","0.61153462","0.708216547","2.641193189","-0.712802379","0.22436544","-4.35253814","-3.144381479","1.000399196","0.23364617","0.537683728","3.253309485","1.88332393","-1.645133461"
"Air Temp Range","0.393945833","0.007358364","-0.34079445","0.578813243","-0.580410536","-0.433155699","-0.619367327","0.265520258","0.795966639","-0.158474893","-0.547016216","0.591397496","0.185357344","-0.029998317","0.920073533","0.525492813","-0.26182211"
"Alkalinity","0.003158332","-0.011064522","0.012077171","0.010369207","-0.000953081","-0.001053543","-0.006497648","-0.00287422","-0.015226888","-0.01723097","0.017819173","0.011285969","4.49185e-05","0.001272063","-0.010133374","0.001104681","0.002962715"
"LgAlk","1.123723916","1.756563718","-1.618248692","-3.122284395","-0.638885718","1.231786335","1.164382726","1.226563472","2.081552114","1.264908072","-1.302545274","0.380812446","0.559624311","-1.052812462","0.263219244","-0.474318491","0.193910742"
"LgArea_CEH","0.074507396","0.132468671","0.022852392","0.603231368","0.813289091","-1.923812113","-0.323529715","0.692529835","-1.108309155","-0.22077696","-1.304983247","-0.95675478","1.669845317","0.113665655","1.383764225","0.764177595","5.387485299"
"LgAltBar_CEH","-2.443672722","-0.587209267","-0.839519252","-0.47495187","-1.110876109","-1.188594112","3.500966016","-0.280881465","1.196680655","-0.151964876","2.700518953","2.890091123","-2.798742513","2.639697991","-0.385182993","1.456493877","1.815449254"
"LgAlt_CEH","-0.037759425","0.847620284","-0.617319023","0.378799703","-0.318630538","-0.037094008","0.095955317","0.12863033","-1.931652807","-0.202897822","-1.198784859","-0.611268757","0.932522338","-0.403762712","-0.281761509","-0.961938211","-0.983448467"
"LgDFS_CEH","0.242658893","1.336098281","1.292281541","0.622258711","0.301333378","-0.143215497","1.798575186","2.337610478","1.127674904","0.589993829","1.237459731","0.42831513","-2.381100625","-1.08827956","-1.409315235","-0.686494491","-6.513656429"
"LgSlope_CEH","-0.176862349","-0.139338912","-0.407810099","0.110828993","-0.246939897","-0.155713637","-0.088353178","0.043048998","-0.107026343","-0.383938919","0.111213786","-0.711397321","-0.23115276","-1.759859927","0.041678847","0.557805456","0.147509295"
"QCat_CEH","0.13555552","0.30612585","-0.055641644","-0.206809603","-0.409328036","0.823512647","-0.250935269","-0.824061252","-0.176482178","-0.122400982","0.091083913","-0.007271359","-0.067310876","-0.233745347","-0.194824221","-0.090054951","-0.510916157"
"Peat_CEH","-0.013821947","-0.012670453","0.017585165","-0.002789906","0.001119452","-0.010940208","0.009837085","-0.016967413","-0.004251048","0.023850314","-0.003506502","0.040749989","0.006722585","-0.007648741","0.007058427","0.028906486","9.58933e-05"
"Chalk_O1_CEH","0.006188919","-0.006863327","0.005259855","0.0217948","-0.02186721","0.00828287","0.032405057","0.002470179","0.021438965","0.02549283","-0.007943635","-0.015020128","0.003921323","-0.002671875","-0.003080774","-0.002328982","-0.012902699"
"Clay_O1_CEH","0.004238979","-0.002763079","0.01055654","0.014309869","-0.016274637","-0.006958602","0.012292705","0.000127198","0.012074069","-0.005596478","-0.039689454","0.00724032","-0.031976291","-0.000779881","-0.029050988","-0.002994768","0.00970386"
"Hardrock_O1_CEH","0.000213975","0.002777144","0.0005394","-0.003763423","0.009366387","-0.014065983","0.007451876","-0.013783217","0.018858351","-0.010100015","-0.001280197","0.007324004","0.014944199","-0.009502618","-0.009544613","-0.012920193","0.001899476"
"Limestone_O1_CEH","-0.007245587","0.013749928","0.008810839","0.011311459","0.010732812","-0.00740789","-0.002051757","0.001645105","0.024663077","-0.013295495","-0.013115208","-0.026075154","0.027215328","0.014909583","-0.033945628","0.026288735","-0.010147132"
