Discriminant Functions (DF1-DF17),DF1,DF2,DF3,DF4,DF5,DF6,DF7,DF8,DF9,DF10,DF11,DF12,DF13,DF14,DF15,DF16,DF17
Latitude,0.022858,-0.270863,0.203715,0.024906,-0.278690,0.259347,0.791283,0.051732,0.105054,-1.612531,-1.240227,0.219715,0.058955,0.238077,1.191215,0.486807,-0.639939
Longitude,0.225119,-0.211156,0.149258,-0.679318,0.288046,-0.415567,0.446829,-0.837441,-0.402015,-0.464568,0.215792,-0.386326,-0.250876,0.156390,-0.100508,-0.170090,-0.199795
Mean Air Temp,1.040044,-0.757959,-0.115722,0.441152,0.611535,0.708217,2.641193,-0.712802,0.224365,-4.352538,-3.144381,1.000399,0.233646,0.537684,3.253309,1.883324,-1.645133
Air Temp Range,0.393946,0.007358,-0.340794,0.578813,-0.580411,-0.433156,-0.619367,0.265520,0.795967,-0.158475,-0.547016,0.591397,0.185357,-0.029998,0.920074,0.525493,-0.261822
Alkalinity,0.003158,-0.011065,0.012077,0.010369,-0.000953,-0.001054,-0.006498,-0.002874,-0.015227,-0.017231,0.017819,0.011286,0.000045,0.001272,-0.010133,0.001105,0.002963
LgAlk,1.123724,1.756564,-1.618249,-3.122284,-0.638886,1.231786,1.164383,1.226563,2.081552,1.264908,-1.302545,0.380812,0.559624,-1.052812,0.263219,-0.474318,0.193911
LgArea_CEH,0.074507,0.132469,0.022852,0.603231,0.813289,-1.923812,-0.323530,0.692530,-1.108309,-0.220777,-1.304983,-0.956755,1.669845,0.113666,1.383764,0.764178,5.387485
LgAltBar_CEH,-2.443673,-0.587209,-0.839519,-0.474952,-1.110876,-1.188594,3.500966,-0.280881,1.196681,-0.151965,2.700519,2.890091,-2.798743,2.639698,-0.385183,1.456494,1.815449
LgAlt_CEH,-0.037759,0.847620,-0.617319,0.378800,-0.318631,-0.037094,0.095955,0.128630,-1.931653,-0.202898,-1.198785,-0.611269,0.932522,-0.403763,-0.281762,-0.961938,-0.983448
LgDFS_CEH,0.242659,1.336098,1.292282,0.622259,0.301333,-0.143215,1.798575,2.337610,1.127675,0.589994,1.237460,0.428315,-2.381101,-1.088280,-1.409315,-0.686494,-6.513656
LgSlope_CEH,-0.176862,-0.139339,-0.407810,0.110829,-0.246940,-0.155714,-0.088353,0.043049,-0.107026,-0.383939,0.111214,-0.711397,-0.231153,-1.759860,0.041679,0.557805,0.147509
QCat_CEH,0.135556,0.306126,-0.055642,-0.206810,-0.409328,0.823513,-0.250935,-0.824061,-0.176482,-0.122401,0.091084,-0.007271,-0.067311,-0.233745,-0.194824,-0.090055,-0.510916
%peat_CEH,-0.013822,-0.012670,0.017585,-0.002790,0.001119,-0.010940,0.009837,-0.016967,-0.004251,0.023850,-0.003507,0.040750,0.006723,-0.007649,0.007058,0.028906,0.000096
chalk_O1_CEH,0.006189,-0.006863,0.005260,0.021795,-0.021867,0.008283,0.032405,0.002470,0.021439,0.025493,-0.007944,-0.015020,0.003921,-0.002672,-0.003081,-0.002329,-0.012903
clay_O1_CEH,0.004239,-0.002763,0.010557,0.014310,-0.016275,-0.006959,0.012293,0.000127,0.012074,-0.005596,-0.039689,0.007240,-0.031976,-0.000780,-0.029051,-0.002995,0.009704
hardrock_O1_CEH,0.000214,0.002777,0.000539,-0.003763,0.009366,-0.014066,0.007452,-0.013783,0.018858,-0.010100,-0.001280,0.007324,0.014944,-0.009503,-0.009545,-0.012920,0.001899
limestone_O1_CEH,-0.007246,0.013750,0.008811,0.011311,0.010733,-0.007408,-0.002052,0.001645,0.024663,-0.013295,-0.013115,-0.026075,0.027215,0.014910,-0.033946,0.026289,-0.010147
