Sites per End-group,End-Group,DF1,DF2,DF3,DF4,DF5,DF6,DF7,DF8,DF9,DF10,DF11,DF12,DF13,DF14,DF15,DF16,DF17
9,1,8.3922961706364,-19.6027318313518,6.74159039634458,6.78279861800601,-19.3819132594684,13.1163994235179,72.2480635047362,1.69253973058987,20.0212430916824,-129.26507382583,-101.125426095503,35.2343683110928,4.61436740864,17.7269605851414,103.834907546396,52.1359847539248,-49.5237335259159
11,2,9.47667587621787,-18.5260806643517,4.32477415427907,7.78247522143471,-21.5424530564405,16.5276435306179,70.3987701499876,4.37525986111775,17.9062573031014,-128.735593492689,-101.385646235302,35.740359253842,5.06605525958445,17.2252341782461,103.626813601409,52.1274888912064,-49.5081219431021
11,3,7.24281874208255,-18.5903724389822,4.45706431196315,13.3078417192408,-20.0599170470187,15.2070758627291,70.0146794816279,3.47820290367036,19.4924264988576,-129.800437783833,-100.988017341657,35.3047466778551,4.87461776567388,17.4580149850044,103.533765453166,52.2230146371495,-49.4863758694645
9,4,8.59103271706238,-17.6339306489695,3.9177659695453,11.5675658001533,-20.0982943185367,15.6314729943596,70.9936909721093,3.38966765184963,20.3153167174726,-129.954924154456,-101.041155429063,35.4572733556791,4.44673560461744,17.9665888329845,103.795940149126,52.1506373704935,-49.559672865854
10,5,7.83352967977261,-17.2927783249749,4.98733195778266,13.4921395963192,-20.6008029305552,15.1447253059896,69.598574288218,2.74311983826794,18.7481913573555,-129.81538899464,-101.089551446724,35.0937423600082,4.88667208843465,17.4830247515153,103.634353086635,52.0903317696668,-49.6383631135135
8,6,9.00631707411554,-15.8067010026915,4.27716921022733,10.875714839371,-21.02239244756,16.2103735045394,70.9057198810373,3.10026420144679,19.8580312557141,-129.717458762136,-102.204037591039,35.4972204465205,5.48022386990754,17.9254157929061,103.618152013853,51.948924227034,-49.7580251164549
6,7,9.6985796514112,-16.9563767229949,3.31136766251815,10.8362150694228,-20.084236232505,16.990653569749,70.8448825276075,3.92012341456616,21.8563891172027,-129.636961956564,-101.375981218648,35.7776011262443,4.66953252410166,17.4648365055421,103.919505711026,52.326005217125,-49.8685817268707
17,8,9.05430482567687,-17.6961474465019,1.75867951662508,11.1846434879328,-21.492978448907,14.4735479804168,69.8912985424906,3.28344193319155,19.446367964072,-128.875224498024,-101.140127152533,35.5763937988453,4.68748082422781,17.7255644750434,103.823313037074,52.2861791707009,-49.970304001578
12,9,9.78326733203335,-15.6643658222777,2.75171126192367,10.9217845899196,-21.2268972199762,15.3135964901778,70.5843137987262,3.20347327581773,19.9831911111418,-129.198030798937,-101.474279319148,35.4078861961344,4.93163593561834,17.9942073496371,103.535359980589,52.2513211643,-49.8032446437828
18,10,8.68057374085518,-16.411243970087,3.27160803383618,10.8931157838253,-21.8101673191288,14.6142771321728,70.5367013555099,3.23047511322593,19.6033714540339,-128.790108972274,-101.565621922736,35.8806839297702,4.90246070781842,17.400446306954,103.867375828341,52.5134487468005,-49.6089428831519
21,11,10.1418649775631,-14.409089406303,2.94891581100691,11.0807023752792,-21.8064432665302,14.333302104155,70.6064984708515,2.43453489344123,19.5752320766702,-129.308933246721,-101.665978693636,35.5781740229711,5.09326285357216,17.6577607444974,103.735660798549,52.0578785916313,-49.7544247439792
14,12,10.5840243531629,-15.0794209086,2.66069151939789,11.0229948116634,-21.2801883383151,14.0319611870794,70.0762926696879,2.99436931369013,20.3940128163564,-129.352471213866,-101.528715244601,35.2212910890738,5.32868206489871,17.2548321475425,103.702740134877,52.1959272944472,-49.4749275964529
17,13,9.19762947805907,-16.422373245266,3.15448169147842,11.1652830452432,-20.9596684316689,16.0078126556469,70.5223068016843,3.49901242996598,20.8407775255844,-129.434242313158,-101.166717358647,35.4928941293214,4.5964219232779,17.2626533554887,103.82561198842,52.1019692450134,-49.2775932968113
21,14,8.78187910644901,-16.3491757990076,2.25795720959928,11.9919661999776,-21.7943022453828,14.4851831937233,70.0470028653283,3.32976200045846,19.687031960187,-129.307395834242,-100.979829524395,35.3328524564148,4.62901497134896,17.7345131336305,103.534329342741,52.0246077654344,-49.5274803635209
11,15,8.39933153590408,-16.7307691892541,2.94855854479374,12.2368945652272,-21.6453712636279,14.0101373944025,70.2352176731861,2.65959696819263,19.5601056864086,-129.152146092083,-100.887690917933,36.0426348723163,4.51248113715063,17.4661655139924,103.884467796378,52.2949885989956,-49.5875139636924
17,16,10.147899786993,-16.58117618636,0.736012014882142,10.5441490903327,-20.8209102180794,13.8547820122443,70.8646302144012,2.79475140321884,20.3739348408421,-129.235757446033,-100.919686195727,35.6912811305881,5.00095825828438,17.343096002086,103.334994469483,52.1257025979658,-49.5067925822034
15,17,13.0772850009583,-13.6750880000165,2.21199806455636,10.8775265053854,-19.973910943362,15.6738468074752,70.322844939291,2.4803679989621,19.2538852757424,-128.840969039037,-101.016937152819,35.2885321737665,4.84614548942612,17.3806878981961,103.732084068976,52.0142715319216,-49.6585581814245
22,18,11.9160031884086,-13.7266123191597,2.71614725001489,10.4169701507048,-21.2268703142521,15.4983788410379,70.3621788925832,2.59203010026445,19.9137410269926,-129.011492926172,-101.166246110298,35.3885611113732,4.65781773295816,17.280306322442,103.888993971544,52.0102653060487,-49.5492208709315
18,19,12.0413161044952,-14.6738492140662,2.74770045813735,10.0803581239961,-21.1410844706384,15.0802159426481,70.2568415401454,2.87954007091961,19.7845980228433,-129.598261792704,-101.127957951165,34.9704584208939,4.65820153851083,17.539978317936,103.826626267763,52.6685418782173,-49.6628508157189
10,20,12.0536067383437,-15.4412894917521,2.57575457119198,10.2468143967958,-20.6506947043499,14.5850929840213,70.5166036743393,4.07445334046395,19.5842501728774,-129.025400554579,-101.598999656681,35.1535911002772,4.62624685935383,17.4990755518597,102.884221045055,52.2991982156708,-49.7572495173768
13,21,12.5714213751824,-15.276632156684,1.5277329879201,10.5136111372833,-20.0926854914682,14.9602205089233,70.7171687173862,3.77611880813528,19.4255865864903,-129.474669633375,-100.723735889653,35.4799184020533,4.82019495606364,17.7078068133007,103.363860424111,52.4594786950287,-49.8018235568585
20,22,11.6609387683705,-13.929654956234,2.69187670376764,10.2340688575551,-21.7055589233796,14.5721197078504,70.0160508362789,2.98418204005974,20.0961888540672,-129.306555478986,-101.235428638971,34.9846521058013,5.05892695710112,17.5293921346357,103.498163772107,52.1502745538406,-49.3850651719245
10,23,11.6443207155182,-16.1261932678562,2.19635197651337,9.82907099081734,-20.8668944626747,14.353480542516,70.1340837075474,4.71186330707945,20.8590461513956,-129.659244553044,-101.328178000067,35.1434659017241,5.14660940808218,17.3271265602841,103.802146086276,51.7768068902084,-49.7978041218832
11,24,13.2682091341383,-15.3149376272285,1.63164699137834,10.3801170593443,-20.6346224922499,14.325138621934,70.6425266191164,3.48165065706811,19.8102622388236,-130.326486048855,-101.163792660234,35.7881165998548,5.19331405824244,17.3518793530029,103.830189530052,52.7611113224796,-49.8301286978088
23,25,12.0143014540484,-16.0843094178898,1.57350613928709,11.5883579055244,-18.5344324569098,14.8475438798817,70.664285813938,2.37232274467669,19.3237741971479,-128.701777156156,-101.179531352708,35.4618464028725,5.01270229471167,17.5958325068857,103.769083212851,52.0999483695729,-49.6005685835526
27,26,12.0861257366528,-16.3376753138801,0.532181507643632,10.6275845361063,-20.5415532889093,14.3580545357988,70.7624721199698,3.51069945670299,19.6827647512705,-129.459195206901,-101.35573670405,35.912275143677,4.5327974809696,17.5019955356877,103.84330944963,52.285719079188,-49.437088369948
16,27,13.1280842894596,-17.9903609764561,0.854885270302711,10.4186210179302,-20.5138526473052,15.4354859703405,69.3779281975615,2.9331127743956,19.4569066324009,-129.289362563942,-101.636582474878,34.851433783248,5.01010409684825,17.8386045724547,103.868844491001,52.6100325941349,-49.2240939763594
9,28,12.3389375039516,-17.4997122176086,0.862202225473857,9.45851674666536,-21.0274597593061,15.1589628269905,69.4291776532919,3.99366465113118,19.3070555885526,-129.665684491768,-100.946040167524,35.112736018287,4.63939829948126,17.2034332142812,104.183757890365,51.8523575413667,-49.9550990544509
9,29,12.0334279263515,-17.6624231772018,0.696087922688041,11.3633745719127,-18.0801494889095,15.6312711309444,71.2764190811043,2.60756749472074,19.7074504713916,-130.071774368832,-101.81555879681,35.3438457275913,4.94978536892717,17.1112004045894,103.444125775233,52.0542935591364,-49.8019852665029
14,30,13.6778587990175,-19.3195850065098,0.084630450466565,9.89916150618039,-23.028000150691,16.2107812725916,70.2119857387987,1.04155482981584,19.9311685681772,-129.709431984066,-101.243259337882,35.529325014837,4.68526827364651,17.6055776171519,103.541363642525,52.081295266584,-49.7201617555367
15,31,13.1394956340626,-14.7980372046143,2.70150286232761,10.6588979963758,-20.1979765399107,15.5267055921649,69.5930010198964,3.1347456012539,20.4819226768874,-128.691943950427,-101.075770621121,35.5815430117591,4.75866505343854,17.9779313630486,104.019197614097,52.136577456654,-49.657502086239
32,32,13.3075173145469,-14.5366249345202,2.97620038540066,9.95876480100582,-20.6371228290079,15.3060401786835,70.4165678735063,3.40627271418292,19.6448866818045,-129.553993447029,-100.986221053847,35.5631224962518,4.69567836190808,17.8988078338345,103.462234802532,52.18153138248,-49.5230925707595
10,33,14.7377197360675,-14.0560231957431,2.6886757613274,10.5639506271534,-20.2666785508204,15.0703443498782,70.3697644141092,3.20375303208356,19.5723751986188,-129.810239480793,-101.263507982927,36.6002637413425,4.95582937811887,17.8271876190424,103.913813005511,51.9141533841856,-49.5070408304324
17,34,16.8324778909159,-16.0585807195046,3.52295623123119,12.2408765349271,-21.4667572681078,16.075219728731,72.0648603397368,2.96987621449274,19.8814317691504,-128.801229645786,-100.89229621802,35.4572370274578,4.97203254911186,17.3097584896795,103.611671979135,52.5344748229183,-49.584047202565
21,35,15.5866459421991,-16.2169395596296,2.45384479734067,11.1685019718348,-21.0006609063119,14.6370319870841,70.2630127201216,3.67745711048047,19.2021682761292,-128.96217888391,-101.164255884127,35.5809484584977,4.75662393981441,17.4823004321242,103.631540870896,52.0303895236787,-49.5473611879996
20,36,16.4806679454675,-16.1754695750225,3.71493805554771,11.0047146608502,-21.2665721252841,14.4258234526504,70.7069725161943,3.10175492800162,19.7019483983437,-129.410151952341,-101.30365904626,35.1591644180388,4.20124122872591,17.4294560030449,103.572392169577,52.0807099608319,-49.6238082256983
20,37,15.9852343778711,-17.4751787487522,2.96273848444601,11.7136489812083,-21.7690876787948,14.5965025912598,71.7467437438672,3.77017402234303,20.1744854950034,-128.851045946601,-101.216706937686,35.1832477085066,5.06497541447185,17.7782310780324,103.923761527883,52.1375255983152,-49.690006806782
23,38,15.9391307463986,-17.8337011057105,2.65274190580231,10.9789061717291,-20.9276787546765,14.428643283988,70.3254903704549,3.44114037047328,19.5058249853082,-129.617496339975,-100.960847421864,35.4251862807627,5.19959221241495,17.6771132141311,103.889420519154,52.0870443775685,-49.3835440536721
30,39,15.1368714749266,-18.1629533407988,1.77268971816282,10.9685888463526,-21.3556319744947,15.1653511223976,70.5914549870787,3.14429530418663,20.0045013398652,-129.250812352323,-101.216258396628,35.6832273096178,4.95518028497113,17.6330630779172,103.488962600794,52.0378803916959,-49.555042494567
11,40,15.1933702540169,-17.7017590479002,1.81760665237066,11.3738153908208,-19.9782595218361,14.4924184351516,70.0832358396333,3.60076812392335,20.2135446727526,-128.652610315229,-102.515927224797,34.9741738159838,4.32651919518485,17.6122156736435,103.717921205705,52.1827738572071,-49.629144589435
32,41,16.6846105783296,-16.4290767295107,3.63206272154752,10.8410705856148,-20.8153631781297,14.6809503995834,70.0629952050745,2.85449124398928,19.6236677024634,-129.633806874876,-100.930665885666,35.1852758789683,4.89664237767924,17.4834630812213,103.839086583487,52.1760980362986,-49.7428169878155
12,42,17.1885196759142,-14.6095247966134,3.99584305797612,11.7808143368741,-21.4667209559734,14.7362324018803,70.8469718742695,2.90687086818627,18.8992335466297,-130.151320472343,-102.289756473508,35.85987070798,4.55096894840581,17.527179469334,103.796311861858,52.1692870806941,-49.5003701023367
13,43,17.8094923302565,-17.8872866807643,5.67292139099918,10.6000469407212,-20.0979171980398,14.6549813810429,68.0351889411676,2.66513248568666,20.7958659566896,-128.919856248597,-101.333493033302,36.2292381357007,4.93818615926964,17.3831265547,103.375016818693,52.3861089725646,-49.6813942407078
