Test SiteCode,SITE,TL2_WHPT_NTAXA_AbW_DistFam_spr,TL2_WHPT_ASPT_AbW_DistFam_spr,TL2_WHPT_NTAXA_AbW_DistFam_aut,TL2_WHPT_ASPT_AbW_DistFam_aut
TST-01-R,3101,27.098,6.635,27.28,6.265
TST-02-R,9581,29.617,6.722,29.051,6.366
TST-03-R,8805,25.319,6.93,25.205,6.491
TST-04-R,2007,27.351,6.351,27.809,6.141
TST-05-R,2307,26.174,5.151,29.045,5.157
TST-06-R,7145,25.845,5.684,24.756,5.36
TST-07-R,6111,26.815,4.288,26.515,4.145
TST-08-R,SEPA_N06,11.72,5.938,13.821,6.13
TST-09-R,SEPA_W05,14.788,7.096,16.259,7.098
TST-10-R,3785,17.364,7.377,17.014,7.336
TST-11-R,NE01,22.898,7.112,22.641,6.949
TST-12-R,WE03,22.832,7.453,21.978,7.222
