Test SiteCode,SITE,TL2_WHPT_NTAXA_AbW_DistFam_spr,TL2_WHPT_ASPT_AbW_DistFam_spr,TL2_WHPT_NTAXA_AbW_DistFam_aut,TL2_WHPT_ASPT_AbW_DistFam_aut
TST-01-R,3101,27.066,6.560,27.248,6.194
TST-02-R,9581,29.727,6.665,29.159,6.312
TST-03-R,8805,25.119,6.826,25.006,6.393
TST-04-R,2007,26.944,6.233,27.395,6.027
TST-05-R,2307,25.867,5.065,28.705,5.071
TST-06-R,7145,25.742,5.613,24.657,5.293
TST-07-R,6111,26.437,4.212,26.141,4.071
TST-08-R,SEPA_N06,11.778,5.891,13.889,6.082
TST-09-R,SEPA_W05,14.861,7.040,16.338,7.041
TST-10-R,3785,17.396,7.306,17.046,7.266
TST-11-R,NE01,22.878,7.033,22.621,6.871
TST-12-R,WE03,22.915,7.389,22.057,7.160
