SITE,Waterbody,Year,NGR,Easting,Northing,Altitude,Slope,Dist_from_Source,Alkalinity,Hardness,Calcium,Conductivity,Spr_Season_ID,"Spr_TL2_WHPT_ASPT (AbW,DistFam)","Spr_TL2_WHPT_NTaxa (AbW,DistFam)",Spr_Ntaxa_Bias,Sum_Season_ID,"Sum_TL2_WHPT_ASPT (AbW,DistFam)","Sum_TL2_WHPT_NTaxa (AbW,DistFam)",Sum_Ntaxa_Bias,Aut_Season_ID,"Aut_TL2_WHPT_ASPT (AbW,DistFam)","Aut_TL2_WHPT_NTaxa (AbW,DistFam)",Aut_Ntaxa_Bias
TEST-01-R,Waterbody name,2016,NX,40000,10000,5,2.7,10,75,,,,1,6.512,24,1.62,2,6.663,27,1.62,3,6.348,27,1.62
TEST-01-R,Waterbody name,2017,NX,40000,10000,5,2.7,10,75,,,,1,6.476,25,1.62,2,6.811,21,1.62,3,5.892,25,1.62
TEST-01-R,Waterbody name,2018,NX,40000,10000,5,2.7,10,75,,,,1,6.739,28,1.62,2,5.989,28,1.62,3,6.132,28,1.62
TEST-05-R,Waterbody name,2016,SC,39840,88130,15,1.3,18,50,,,,1,4.908,24,1.62,2,5.35,22,1.62,3,4.881,31,1.62
TEST-05-R,Waterbody name,2017,SC,39840,88130,15,1.3,18,50,,,,1,5.503,31,1.62,2,4.88,25,1.62,3,5.452,29,1.62
TEST-05-R,Waterbody name,2018,SC,39840,88130,15,1.3,18,50,,,,1,6.587,31,1.62,2,5.934,29,1.62,3,6.648,31,1.62
TEST-07-R,Waterbody name,2017,SC,25800,75900,1,0.2,10,50,,,,1,4.017,35,1.62,2,3.894,34,1.62,3,3.959,27,1.62
TEST-09-R,Waterbody name,2016,SC,39000,88000,46,11.4,8.5,3,,,,1,5.436,11,1.62,2,5.53,10,1.62,3,5.845,11,1.62
TEST-09-R,Waterbody name,2017,SC,39000,88000,46,11.4,8.5,3,,,,1,7.767,18,1.62,2,6.984,19,1.62,3,8.018,17,1.62
TEST-09-R,Waterbody name,2018,SC,39000,88000,46,11.4,8.5,3,,,,1,7.033,15,1.62,2,6.912,16,1.62,3,7.146,13,1.62
TEST-12-R,Waterbody name,2016,SC,35840,88130,90,12,6.4,9.8,,,,1,7.604,27,1.62,2,6.779,24,1.62,3,7.048,33,1.62
TEST-12-R,Waterbody name,2018,SC,35840,88130,90,12,6.4,9.8,,,,1,7.213,24,1.62,2,6.352,21,1.62,3,6.832,26,1.62
TEST-01-D,Waterbody name,2016,NX,40000,10000,5,2.7,10,75,,,,1,5.783,23,1.62,2,5.885,26,1.62,3,5.615,26,1.62
TEST-01-D,Waterbody name,2017,NX,40000,10000,5,2.7,10,75,,,,1,5.65,20,1.62,2,6.143,14,1.62,3,5.15,20,1.62
TEST-01-D,Waterbody name,2018,NX,40000,10000,5,2.7,10,75,,,,1,5.778,18,1.62,2,5.111,18,1.62,3,5.222,18,1.62
TEST-05-D,Waterbody name,2016,SC,39840,88130,15,1.3,18,50,,,,1,5.125,16,1.62,2,4.6,15,1.62,3,5.125,16,1.62
TEST-05-D,Waterbody name,2017,SC,39840,88130,15,1.3,18,50,,,,1,3.625,8,1.62,2,3.625,8,1.62,3,3.455,11,1.62
TEST-05-D,Waterbody name,2018,SC,39840,88130,15,1.3,18,50,,,,1,2.833,6,1.62,2,2.4,5,1.62,3,2.667,6,1.62
TEST-07-D,Waterbody name,2017,SC,25800,75900,1,0.2,10,50,,,,1,3.636,33,1.62,2,3.531,32,1.62,3,3.5,26,1.62
TEST-09-D,Waterbody name,2016,SC,39000,88000,46,11.4,8.5,3,,,,1,4.667,9,1.62,2,4.875,8,1.62,3,5,9,1.62
TEST-09-D,Waterbody name,2017,SC,39000,88000,46,11.4,8.5,3,,,,1,6.417,12,1.62,2,6.083,12,1.62,3,6.818,11,1.62
TEST-09-D,Waterbody name,2018,SC,39000,88000,46,11.4,8.5,3,,,,1,5.25,8,1.62,2,5.5,8,1.62,3,5.286,7,1.62
TEST-12-D,Waterbody name,2016,SC,35840,88130,90,12,6.4,9.8,,,,1,4.2,5,1.62,2,3.2,5,1.62,3,3.286,7,1.62
TEST-12-D,Waterbody name,2018,SC,35840,88130,90,12,6.4,9.8,,,,1,4.333,6,1.62,2,3.667,6,1.62,3,3.625,8,1.62
