RIVPACS Model,End Group,Season Code,Season,TL1 BMWP,TL1 NTAXA,TL1 ASPT,"TL2 WHPT Score (nonAb,DistFam)","TL2 WHPT NTAXA (nonAb,DistFam)","TL2 WHPT ASPT (nonAb,DistFam)","TL2 WHPT Score (nonAb,CompFam)","TL2 WHPT NTAXA (nonAb,CompFam)","TL2 WHPT ASPT (nonAb,CompFam)","TL2 WHPT Score (AbW,DistFam)","TL2 WHPT NTAXA (AbW,DistFam)","TL2 WHPT ASPT (AbW,DistFam)","TL2 WHPT Score (AbW,CompFam)","TL2 WHPT NTAXA (AbW,CompFam)","TL2 WHPT ASPT (AbW,CompFam)","TL1 WHPT Score (nonAb,CompFam)","TL1 WHPT NTAXA (nonAb,CompFam)","TL1 WHPT ASPT (nonAb,CompFam)","TL1 WHPT Score (AbW,CompFam)","TL1 WHPT NTAXA (AbW,CompFam)","TL1 WHPT ASPT (AbW,CompFam)",TL1 AWIC(Fam),TL4 AWIC(Sp) Murphy,TL5 AWIC(Sp) Murphy,TL4 WFD AWIC(Sp) McFarland,TL5 WFD AWIC(Sp) McFarland,TL4 Raddum,TL5 Raddum,TL4 SEPA % Acid Sensitive Taxa,TL5 SEPA % Acid Sensitive Taxa,TL4 MetTol,TL5 MetTol,TL1/2 LIFE(Fam) (CompFam),TL2 LIFE(Fam) (DistFam),TL3 LIFE(Fam) (DistFam),TL4 LIFE(Sp),TL5 LIFE(Sp),TL4 DEHLI(Sp),TL5 DEHLI(Sp),TL3 PSI(Fam),TL4 PSI(Sp),TL5 PSI(Sp),TL3 E-PSI(fam69),TL4 E-PSI(mixed level),TL5 E-PSI(mixed level),TL4 oFSIsp,TL5 oFSIsp,TL4 ToFSIsp,TL5 ToFSIsp,TL4 CoFSIsp,TL5 CoFSIsp,TL4 GSFI FI05,TL5 GSFI FI05,TL4 GSFI FI09,TL5 GSFI FI09,TL4 GSFI FI091,TL5 GSFI FI091,TL4 GSFI FI091_K,TL5 GSFI FI091_K,TL4 GSFI FI092,TL5 GSFI FI092,TL4 GSFI FI11_12,TL5 GSFI FI11_12,TL4 GSFI FI14_16,TL5 GSFI FI14_16,TL4 GSFI FI15_17,TL5 GSFI FI15_17,TL4 GSFI FI152,TL5 GSFI FI152,TL2 SPEAR(Fam) %,TL4 SPEAR(Sp) %,TL5 SPEAR(Sp) %,SPEAR(pesticides) TL2 fam Knillmann 2018,SPEAR(refuge) TL2 fam Knillmann 2018,SPEAR(pesticides) TL4 sp Knillmann 2018,SPEAR(refuge) TL4 sp Knillmann 2018,SPEAR(pesticides) TL5 sp Knillmann 2018,SPEAR(refuge) TL5 sp Knillmann 2018,TL4 CCI,TL5 CCI,TL2 08 Group ARMI Score,TL2 08 Group ARMI NTaxa,TL2 33 Group WQ Score,TL2 33 Group WQ NTaxa,TL2 33 Group Silt & Flow Score,TL2 33 Group Silt & Flow NTaxa,TL2 14 Group Urban Score,TL2 14 Group Urban NTaxa
RIVPACS IV IOM,1,1,Spring,59.42857,9.71429,6.05614,71.97143,10.28571,6.92314,71.71429,10.28571,6.90571,71.67143,10.28571,6.86514,71.41429,10.28571,6.84757,67.88571,9.71429,6.90114,67.64286,9.71429,6.84729,3.21800,,4.82586,,6.10000,,0.50000,,13.17429,,41.21200,7.78400,7.78400,,,8.75243,,7.27600,,,94.89800,,,96.83286,,5.89486,,6.38686,,5.69143,,0.28357,,1.37657,,1.37657,,0.59286,,0.34586,,0.71557,,1.50000,,0.85714,,0.46186,58.53286,,65.04429,70.41471,95.91843,,,66.74500,95.91371,,8.50314,5.42857,3.00000,15.85714,7.85714,16.71429,7.85714,7.85714,5.00000
RIVPACS IV IOM,1,2,Summer,63.42857,10.57143,5.82257,78.37143,11.57143,6.54114,77.94286,11.57143,6.51943,78.17143,11.57143,6.49243,77.75714,11.57143,6.47129,71.42857,10.57143,6.53829,71.32857,10.57143,6.48929,4.02757,,5.10543,,6.75171,,0.78571,,4.26343,,37.63043,7.47786,7.47786,,,8.28986,,6.91571,,,97.61900,,,99.05014,,5.89329,,5.25329,,5.04586,,-0.01014,,0.99043,,0.99043,,0.57143,,0.77757,,1.42543,,1.97957,,0.89800,,0.56914,49.45014,,48.64871,42.83200,98.24086,,,29.17486,97.97729,,7.96257,6.57143,4.00000,18.42857,9.14286,19.00000,9.14286,9.57143,6.14286
RIVPACS IV IOM,1,3,Autumn,63.42857,10.14286,5.88557,75.70000,10.71429,6.77429,75.41429,10.71429,6.75871,75.90000,10.71429,6.73071,75.61429,10.71429,6.71500,71.37143,10.14286,6.68171,71.61429,10.14286,6.64814,3.63371,,3.65957,,4.83571,,0.57143,,14.20629,,39.77100,7.34557,7.34557,,,8.65800,,6.69529,,,78.57143,,,96.48243,,5.95571,,5.69771,,5.32043,,0.01371,,1.40200,,1.40200,,0.68457,,0.68571,,0.17600,,1.42857,,0.71429,,0.42629,46.95157,,52.85071,61.03143,87.36686,,,52.73486,84.21457,,8.17329,5.00000,3.14286,17.28571,8.00000,17.00000,8.00000,7.42857,5.14286
RIVPACS IV IOM,1,4,Spring & Summer,83.00000,13.28571,6.17043,101.74286,14.42857,6.95857,101.35714,14.42857,6.94343,101.84286,14.42857,6.94857,101.44286,14.42857,6.93200,94.05714,13.28571,6.99829,94.24286,13.28571,6.99114,3.75071,,5.03471,,6.40857,,0.85714,,8.17643,,39.11100,7.78814,7.78814,,,8.56357,,7.07143,,,94.32957,,,96.70229,,5.93014,,5.81114,,5.37629,,0.25471,,1.32286,,1.32286,,0.68029,,0.67786,,1.14857,,1.85714,,1.03214,,0.68157,55.74843,,62.23086,51.84543,97.23871,,,42.90957,97.03243,,9.27686,8.14286,4.57143,19.57143,10.57143,23.00000,10.57143,11.85714,7.28571
RIVPACS IV IOM,1,5,Spring & Autumn,75.28571,12.00000,6.14143,89.61429,12.71429,6.91186,89.34286,12.71429,6.89757,91.57143,12.71429,7.02200,91.27143,12.71429,7.00571,84.51429,12.00000,6.89543,86.41429,12.00000,7.00929,3.41143,,4.81300,,6.07271,,0.71429,,13.06471,,40.39514,7.63029,7.63029,,,8.79357,,7.04857,,,93.12571,,,96.07614,,5.90843,,6.08671,,5.52529,,0.31343,,1.43400,,1.43400,,0.77943,,0.52500,,0.56600,,1.54757,,0.85714,,0.48529,55.02214,,63.78243,68.76429,93.33386,,,64.24114,92.76700,,8.70757,6.42857,3.42857,19.28571,9.28571,20.42857,9.28571,9.42857,5.71429
RIVPACS IV IOM,1,6,Summer & Autumn,83.00000,13.28571,6.04700,100.58571,14.42857,6.74914,100.20000,14.42857,6.73786,102.02857,14.42857,6.81171,101.62857,14.42857,6.79871,92.68571,13.28571,6.76429,94.20000,13.28571,6.83586,3.93157,,4.77643,,6.32529,,0.85714,,6.87371,,38.39914,7.54800,7.54800,,,8.39900,,6.60886,,,90.47614,,,95.53257,,5.96514,,5.29900,,5.09714,,-0.12614,,1.39157,,1.39157,,0.92857,,0.77200,,0.94071,,1.98571,,0.88443,,0.62543,50.92157,,55.66571,47.38200,94.94000,,,35.30257,93.55914,,9.44314,8.14286,4.42857,21.71429,10.71429,23.28571,10.71429,11.71429,7.14286
RIVPACS IV IOM,1,7,"Spring, Summer & Autumn",91.71429,14.42857,6.23143,111.21429,15.71429,6.95443,110.84286,15.71429,6.94343,112.18571,15.71429,7.00029,111.80000,15.71429,6.98743,102.54286,14.42857,6.99571,103.51429,14.42857,7.04457,3.78714,,5.01629,,6.38171,,0.92857,,9.07443,,39.01643,7.72729,7.72729,,,8.63829,,6.87343,,,91.84471,,,95.59729,,5.97029,,5.67543,,5.31329,,0.25357,,1.36986,,1.36986,,0.90014,,0.69814,,0.95700,,1.87614,,1.02529,,0.71457,54.99657,,63.09157,53.57586,95.51100,,,44.81057,94.84643,,9.41357,8.71429,4.57143,20.57143,11.28571,24.28571,11.28571,12.57143,7.42857
RIVPACS IV IOM,2,1,Spring,99.75000,15.25000,6.55300,123.37500,16.75000,7.37400,120.12500,16.50000,7.29650,127.70000,16.75000,7.62600,124.42500,16.50000,7.55000,112.72500,15.25000,7.40075,117.10000,15.25000,7.68575,3.80350,,6.30750,,8.22500,,1.00000,,49.34600,,40.58325,8.28075,8.28000,,,8.90750,,7.01925,,,95.49700,,,98.59825,,6.12925,,5.99650,,5.55100,,0.19350,,1.15700,,1.15700,,1.47800,,0.82650,,0.27325,,1.64425,,1.19450,,1.07300,64.16675,,69.50525,87.73950,98.74525,,,84.72775,98.26775,,10.51200,11.75000,5.00000,28.00000,12.25000,28.75000,12.25000,15.25000,7.50000
RIVPACS IV IOM,2,2,Summer,93.25000,15.00000,6.21925,109.67500,15.75000,6.96175,108.42500,15.75000,6.88400,108.62500,15.75000,6.90200,107.32500,15.75000,6.82050,103.90000,15.00000,6.92900,102.82500,15.00000,6.86200,4.22050,,6.78475,,8.94850,,0.87500,,20.58325,,39.31650,7.91625,7.91625,,,8.47075,,6.46875,,,86.95925,,,96.46150,,6.40700,,5.24100,,5.21825,,0.48575,,1.14050,,1.14050,,1.03575,,1.12625,,1.20725,,1.73200,,1.24400,,0.90850,56.75650,,56.27900,65.44700,84.64175,,,61.15200,80.26950,,7.22350,9.50000,5.25000,25.00000,12.75000,26.00000,12.75000,12.75000,7.75000
RIVPACS IV IOM,2,3,Autumn,84.00000,13.50000,6.17100,97.30000,13.75000,6.98575,94.92500,13.50000,6.95750,98.97500,13.75000,7.12050,96.57500,13.50000,7.09025,94.92500,13.50000,6.95750,96.57500,13.50000,7.09025,4.07275,,6.78600,,8.90125,,1.00000,,46.90650,,40.21875,7.94600,7.95175,,,8.75825,,7.60050,,,96.93125,,,99.36825,,6.17575,,5.86250,,5.49100,,-0.28625,,1.20800,,1.20800,,1.58025,,0.63400,,-0.16525,,1.86350,,1.03850,,0.84225,58.95850,,60.40175,73.46325,89.79925,,,71.87075,84.15700,,10.21375,8.00000,4.50000,24.25000,11.00000,22.50000,11.00000,11.75000,7.50000
