RIVPACS Model,End Group,Season Code,Season,TL1 BMWP,TL1 NTAXA,TL1 ASPT,"TL2 WHPT Score (nonAb,DistFam)","TL2 WHPT NTAXA (nonAb,DistFam)","TL2 WHPT ASPT (nonAb,DistFam)","TL2 WHPT Score (nonAb,CompFam)","TL2 WHPT NTAXA (nonAb,CompFam)","TL2 WHPT ASPT (nonAb,CompFam)","TL2 WHPT Score (AbW,DistFam)","TL2 WHPT NTAXA (AbW,DistFam)","TL2 WHPT ASPT (AbW,DistFam)","TL2 WHPT Score (AbW,CompFam)","TL2 WHPT NTAXA (AbW,CompFam)","TL2 WHPT ASPT (AbW,CompFam)",TL1 AWIC(Fam),TL4 AWIC(Sp) Murphy,TL5 AWIC(Sp) Murphy,TL4 WFD AWIC(Sp) McFarland,TL5 WFD AWIC(Sp) McFarland,TL4 Raddum,TL5 Raddum,TL4 SEPA % Acid Sensitive Taxa,TL5 SEPA % Acid Sensitive Taxa,TL4 MetTol,TL5 MetTol,TL1/2 LIFE(Fam) (CompFam),TL2 LIFE(Fam) (DistFam),TL3 LIFE(Fam) (DistFam),TL4 LIFE(Sp),TL5 LIFE(Sp),TL3 PSI(Fam),TL4 PSI(Sp),TL5 PSI(Sp),TL3 E-PSI(fam69),TL4 E-PSI(mixed level),TL5 E-PSI(mixed level),TL4 oFSIsp,TL5 oFSIsp,TL4 ToFSIsp,TL5 ToFSIsp,TL4 CoFSIsp,TL5 CoFSIsp,TL4 GSFI FI05,TL5 GSFI FI05,TL4 GSFI FI09,TL5 GSFI FI09,TL4 GSFI FI091,TL5 GSFI FI091,TL4 GSFI FI091_K,TL5 GSFI FI091_K,TL4 GSFI FI092,TL5 GSFI FI092,TL4 GSFI FI11_12,TL5 GSFI FI11_12,TL4 GSFI FI14_16,TL5 GSFI FI14_16,TL4 GSFI FI15_17,TL5 GSFI FI15_17,TL4 GSFI FI152,TL5 GSFI FI152,TL2 SPEAR(Fam) %,TL4 SPEAR(Sp) %,TL5 SPEAR(Sp) %,SPEAR(pesticides) TL2 fam Knillmann 2018,SPEAR(refuge) TL2 fam Knillmann 2018,SPEAR(pesticides) TL4 sp Knillmann 2018,SPEAR(refuge) TL4 sp Knillmann 2018,SPEAR(pesticides) TL5 sp Knillmann 2018,SPEAR(refuge) TL5 sp Knillmann 2018,TL4 CCI,TL5 CCI,TL2 08 Group ARMI NTaxa,TL2 08 Group ARMI Score,TL2 33 Group ARMI NTaxa,TL2 33 Group ARMI Score,TL2 33 Group Flow & Silt NTaxa,TL2 33 Group Flow & Silt Score,TL2 14 Group Urban NTaxa,TL2 14 Group Urban Score
RIVPACS IV GB,1,1,Spring,57.22222,10.88889,5.232,70.91111,11.77778,6.04678,69.34444,11.66667,5.97822,69.58889,11.77778,5.891,68.1,11.66667,5.83278,4.24233,6.02444,6.02444,7.82878,7.82878,1,1,17.14422,16.87844,45.87911,43.66667,7.35089,7.35244,7.35244,8.169,8.25822,69.51767,80.33589,79.08256,93.47222,93.506,92.12756,5.59567,5.96389,5.26933,5.61544,4.95133,5.27656,-1.01822,-1.02133,0.74078,0.88456,0.77411,0.92711,0.14633,0.42411,-0.41422,-0.39822,0.04,-0.09833,1.05556,1.33311,0.99222,0.99067,0.84622,0.14233,42.10911,39.08333,48.41078,41.12422,99.72978,94.95756,96.53867,32.62456,99.29011,2.465,2.03267,4,6.11111,9.66667,15.33333,9.66667,16.44444,6.44444,9
RIVPACS IV GB,1,2,Summer,43.77778,10.11111,4.31233,57.84444,11.11111,5.20678,56.92222,11.11111,5.12256,57.22222,11.11111,5.15089,56.3,11.11111,5.06633,4.96422,7.25367,7.25367,9.90378,9.90378,1,1,41.31767,37.93589,46.70444,43.84778,7.04933,7.04933,7.04933,7.90556,7.90522,60.25656,76.05311,67.10411,82.36389,92.24222,88.13167,5.32044,5.68578,5.19389,5.13033,4.81222,4.90344,-1.51456,-1.57011,-0.61567,0.10711,-0.61567,0.10711,-0.03611,0.37978,-0.84056,-0.83133,-0.39156,-0.68644,0.93389,1.09678,0.87744,0.62222,0.71367,0.12067,28.52522,28.47356,34.57978,43.31822,99.96978,95.88789,99.38944,37.09822,99.91711,3.13933,3.07311,2.55556,4.33333,9.55556,15,9.55556,16.55556,6.22222,8.44444
RIVPACS IV GB,1,3,Autumn,68.33333,13,5.32889,83.26667,13.88889,6.11767,82.11111,13.88889,6.03256,82.48889,13.88889,6.082,81.38889,13.88889,6.00033,4.534,5.95211,5.95211,7.65589,7.65589,1,1,28.81911,25.89211,45.91967,44.07089,7.30222,7.30222,7.30222,8.18211,8.233,65.26,77.83167,71.17156,85.44033,93.26267,89.30167,5.54967,5.73556,5.58022,5.55133,5.11211,5.16056,-1.37422,-1.37422,0.47633,0.80844,0.47633,0.81756,-0.12444,0.25589,-0.71322,-0.69811,-0.46056,-0.475,1.05778,0.95644,0.79078,0.61322,0.77722,0.23211,51.08967,50.24122,54.60556,57.93,99.94256,97.66333,99.04567,55.825,99.87,2.91956,2.92122,3.66667,7.11111,10.77778,17.11111,10.77778,19,7.22222,10.88889
RIVPACS IV GB,1,4,Spring & Summer,72.22222,14,5.14611,89.82222,15.22222,5.93544,87.91111,15.11111,5.85067,88.34444,15.22222,5.83733,86.5,15.11111,5.758,4.45789,6.201,6.201,8.24544,8.24544,1,1,31.88433,30.04378,46.71189,43.73878,7.26244,7.26767,7.26767,8.09078,8.11878,68.187,78.85111,74.78989,88.82267,93.60389,91.51533,5.48122,5.89567,5.19811,5.367,4.87078,5.11144,-1.18267,-1.21433,0.12767,0.58856,0.13711,0.60667,0.05433,0.32067,-0.57067,-0.54944,-0.15433,-0.40011,0.86656,1.07133,0.89722,0.75978,0.72122,0.19511,38.00767,35.03822,45.60489,40.92433,99.85544,94.627,97.09756,34.87433,99.52933,3.15578,2.73267,4.11111,7.22222,12.22222,20.44444,12.22222,21.44444,8.22222,11.66667
RIVPACS IV GB,1,5,Spring & Autumn,79.55556,14.66667,5.44178,96.54444,15.88889,6.14767,94.56667,15.77778,6.063,96.32222,15.88889,6.13933,94.4,15.77778,6.05922,4.40867,5.80644,5.80644,7.44167,7.44167,1,1,23.92089,22.81322,46.62833,43.82956,7.34967,7.356,7.356,8.21778,8.309,67.47233,77.21956,74.11567,88.78356,92.50756,90.55667,5.50156,5.79567,5.31944,5.55589,4.947,5.184,-1.14078,-1.13789,0.674,0.875,0.67978,0.88978,0.081,0.30133,-0.55411,-0.525,-0.09389,-0.186,1.00144,1.08389,0.86367,0.76156,0.77089,0.25844,49.27322,45.52789,55.08489,52.33656,99.82811,97.16956,97.65744,47.807,99.58178,3.53756,3.41356,4,8.22222,11.66667,20.33333,11.66667,20.44444,7.55556,12
RIVPACS IV GB,1,6,Summer & Autumn,77.88889,14.88889,5.23822,94.52222,16,5.96667,93.25556,16,5.87989,94.27778,16,5.96667,93.05556,16,5.88211,4.55044,6.15211,6.15211,8.01433,8.01433,1,1,35.89978,32.65567,46.70333,43.91444,7.22367,7.22367,7.22367,8.14144,8.17889,65.92022,77.01244,70.61167,85.78944,91.92733,89.30811,5.44,5.76233,5.35744,5.38644,4.94689,5.07578,-1.33089,-1.34822,0.20711,0.69622,0.20944,0.70289,0.031,0.38467,-0.739,-0.72633,-0.291,-0.51289,0.89756,0.918,0.81067,0.60244,0.74389,0.234,42.45844,40.37022,48.03144,49.408,99.95767,96.65733,99.16222,44.887,99.88644,3.99567,3.95456,3.77778,7.77778,12.22222,21.88889,12.22222,21.88889,8.11111,12.44444
RIVPACS IV GB,1,7,"Spring, Summer & Autumn",86.44444,16.11111,5.35811,104.58889,17.44444,6.04833,102.5,17.33333,5.95867,104.44444,17.44444,6.05567,102.37778,17.33333,5.96822,4.47356,6.00278,6.00278,7.76111,7.76111,1,1,31.06789,29.10456,46.95233,43.682,7.28444,7.29,7.29,8.17633,8.23622,68.02522,76.94778,73.17222,88.03267,92.19211,90.57078,5.447,5.812,5.24767,5.41533,4.88711,5.10967,-1.19944,-1.21189,0.39122,0.74778,0.39533,0.758,0.14756,0.35933,-0.59011,-0.56733,-0.11533,-0.33967,0.87911,1.00289,0.84856,0.68233,0.73033,0.25944,44.349,40.55411,51.35444,47.13756,99.87978,96.39222,97.90189,42.182,99.66189,4.00089,3.88367,4.11111,8.88889,12.77778,23.55556,12.77778,23.22222,8.44444,13.33333
RIVPACS IV GB,2,1,Spring,101.45455,16.72727,6.05664,116.3,17.54545,6.60127,116.21818,17.54545,6.59873,115.49091,17.54545,6.53264,115.54545,17.54545,6.53736,4.46136,6.11455,6.11455,8.06655,8.06655,1,1,16.90682,16.71209,47.89773,45.85427,7.45509,7.44936,7.44936,8.13464,8.14827,66.50791,79.07555,76.31118,90.75655,90.11809,88.45418,5.90664,6.12173,5.321,5.423,5.08918,5.22209,-0.44455,-0.38636,0.96445,1.01791,0.96445,1.01791,0.86409,0.94955,0.22782,0.22782,0.04755,-0.03345,1.06818,1.218,0.79891,0.71645,1.14673,0.69582,51.49955,46.34764,54.70582,41.76409,96.41809,97.51791,91.42255,44.17564,95.96855,7.70782,7.70782,4.72727,7.90909,13.36364,20.54545,13.36364,22.63636,8,11.54545
RIVPACS IV GB,2,2,Summer,99.36364,17.72727,5.60027,119.71818,19.72727,6.06,118.8,19.63636,6.04509,118.92727,19.72727,6.01045,118.04545,19.63636,5.99709,4.86918,6.562,6.562,8.97291,8.97291,1,1,23.25118,23.061,44.892,43.29964,7.34973,7.34355,7.34355,7.94045,7.97409,59.97482,73.88355,71.16055,83.94191,89.14918,87.422,5.923,6.17182,4.91982,4.93309,4.86636,4.961,-0.66209,-0.707,0.40982,0.49309,0.40982,0.49309,0.724,0.87709,-0.01709,-0.01709,-0.13,-0.18855,0.96255,1.05036,0.67318,0.53245,0.84191,0.55655,39.95591,38.98236,43.34536,29.86545,96.52182,96.27691,89.48536,35.20373,94.43373,6.62309,6.43827,5.27273,9.27273,14.90909,25.45455,14.90909,25.63636,9.54545,14.81818
RIVPACS IV GB,2,3,Autumn,119.27273,20.18182,5.88227,138.80909,21.54545,6.41518,137.85455,21.45455,6.39945,140.30909,21.54545,6.47891,139.39091,21.45455,6.46655,4.52391,6.00691,6.00691,8.03527,8.03527,1,1,31.254,30.97445,45.09,43.59,7.43573,7.43982,7.43982,8.08664,8.18727,63.27973,74.14618,72.81655,85.29791,88.86627,86.77445,5.94445,6.09464,5.15391,5.18818,5.00718,5.07909,-0.492,-0.51191,0.72091,0.82209,0.72091,0.82209,0.86,0.999,0.00509,0.01482,-0.10564,-0.19382,0.968,1.085,0.68482,0.60409,0.82255,0.49,50.50527,47.88045,51.27618,56.06318,93.30773,92.77845,87.991,69.03745,91.92609,5.99391,5.97427,5.18182,10.54545,15.63636,27.27273,15.63636,29.27273,9.36364,15.72727
